0.769,0.449,0.239,0.202,0.194,0.23,0.116,0.052,0.04,1.0
0.802,0.454,0.26,0.153,0.169,0.155,0.074,0.036,0.025,1
0.807,0.393,0.281,0.226,0.164,0.166,0.088,0.032,0.022,1
0.763,0.484,0.255,0.17,0.191,0.201,0.102,0.039,0.023,1
0.736,0.509,0.22,0.197,0.207,0.23,0.108,0.056,0.027,1
0.655,0.531,0.313,0.214,0.211,0.269,0.146,0.053,0.062,1
0.674,0.474,0.317,0.208,0.238,0.314,0.124,0.073,0.033,1
0.65,0.542,0.368,0.204,0.204,0.226,0.107,0.048,0.023,1
0.713,0.537,0.284,0.198,0.19,0.187,0.102,0.045,0.027,1
0.729,0.536,0.282,0.184,0.158,0.181,0.092,0.04,0.021,1
0.739,0.5,0.313,0.177,0.18,0.184,0.085,0.032,0.027,1
0.725,0.474,0.35,0.191,0.179,0.214,0.096,0.046,0.025,1
0.689,0.522,0.349,0.189,0.2,0.216,0.08,0.037,0.02,1
0.752,0.496,0.323,0.163,0.164,0.153,0.077,0.033,0.022,1
0.626,0.569,0.372,0.214,0.216,0.196,0.112,0.044,0.029,1
0.719,0.489,0.317,0.198,0.206,0.197,0.132,0.065,0.041,1
0.749,0.446,0.257,0.193,0.246,0.214,0.149,0.075,0.053,1
0.735,0.523,0.273,0.181,0.206,0.157,0.098,0.041,0.021,1
0.64,0.604,0.339,0.19,0.151,0.203,0.096,0.038,0.024,1
0.711,0.425,0.373,0.208,0.219,0.252,0.129,0.051,0.028,1
0.67,0.48,0.393,0.229,0.215,0.23,0.11,0.05,0.027,1
0.677,0.489,0.366,0.191,0.206,0.269,0.119,0.05,0.029,1
0.708,0.456,0.376,0.187,0.233,0.218,0.096,0.056,0.034,1
0.593,0.55,0.41,0.204,0.233,0.244,0.134,0.056,0.026,1
0.625,0.538,0.414,0.207,0.231,0.203,0.095,0.042,0.023,1
0.748,0.472,0.352,0.145,0.181,0.173,0.09,0.035,0.019,1
0.7,0.543,0.337,0.178,0.189,0.165,0.079,0.03,0.018,1
0.699,0.498,0.361,0.183,0.233,0.185,0.1,0.037,0.023,1
0.666,0.55,0.353,0.199,0.174,0.213,0.102,0.044,0.029,1
0.663,0.543,0.314,0.179,0.233,0.257,0.11,0.046,0.022,1
0.678,0.486,0.319,0.193,0.281,0.258,0.123,0.056,0.032,1
0.562,0.593,0.363,0.197,0.251,0.258,0.169,0.053,0.024,1
0.58,0.526,0.379,0.243,0.234,0.321,0.152,0.052,0.024,1
0.675,0.473,0.371,0.193,0.219,0.273,0.141,0.05,0.029,1
0.671,0.399,0.386,0.197,0.249,0.323,0.175,0.069,0.033,1
0.641,0.457,0.377,0.193,0.254,0.307,0.19,0.066,0.035,1
0.612,0.468,0.39,0.21,0.263,0.321,0.184,0.063,0.024,1
0.618,0.438,0.443,0.222,0.27,0.276,0.167,0.063,0.029,1
0.667,0.479,0.395,0.207,0.221,0.243,0.127,0.047,0.022,1
0.71,0.423,0.347,0.23,0.218,0.271,0.137,0.055,0.028,1
0.751,0.371,0.34,0.212,0.228,0.254,0.134,0.047,0.039,1
0.621,0.526,0.35,0.221,0.256,0.249,0.181,0.05,0.066,1
0.639,0.512,0.378,0.186,0.24,0.262,0.15,0.047,0.047,1
0.638,0.396,0.399,0.234,0.287,0.328,0.169,0.053,0.037,1
0.637,0.519,0.331,0.21,0.251,0.298,0.127,0.051,0.028,1
0.631,0.505,0.385,0.227,0.267,0.242,0.121,0.048,0.024,1
0.615,0.522,0.403,0.225,0.212,0.271,0.123,0.049,0.025,1
0.625,0.493,0.422,0.227,0.227,0.248,0.14,0.054,0.03,1
0.699,0.446,0.384,0.228,0.217,0.232,0.098,0.038,0.023,1
0.631,0.449,0.4,0.246,0.284,0.287,0.111,0.057,0.026,1
